# {"t_start": 1687708283.503118, "env_id": "Point2DLargeEnv-v1"} 
r,l,t
-50.0,50,2.974449
-50.0,50,3.009835
-50.0,50,3.042114
-50.0,50,3.073765
-50.0,50,3.105707
-50.0,50,3.137881
-44.0,50,3.171239
-50.0,50,3.203655
-50.0,50,3.23722
-50.0,50,3.269101
-29.0,50,3.301669
-50.0,50,3.334985
-41.0,50,3.368865
-50.0,50,3.401635
-50.0,50,3.434913
-20.0,50,3.467685
-41.0,50,3.505486
-50.0,50,3.539806
-50.0,50,3.573161
-50.0,50,3.607198
-50.0,50,3.64191
-32.0,50,3.67524
-50.0,50,3.708669
-50.0,50,3.743985
-50.0,50,3.781668
-50.0,50,3.822009
-50.0,50,3.863889
-50.0,50,3.899465
-31.0,50,3.933759
-50.0,50,3.967924
-50.0,50,4.005943
0.0,50,4.045351
-16.0,50,4.088889
-50.0,50,4.131161
-41.0,50,4.171473
-50.0,50,4.20502
-47.0,50,4.23813
-50.0,50,4.269725
-50.0,50,4.303145
-50.0,50,4.335488
-50.0,50,4.368547
-50.0,50,4.400908
0.0,50,4.434852
-18.0,50,4.468212
-30.0,50,4.505026
-50.0,50,4.538076
-50.0,50,4.570683
-50.0,50,4.604116
-50.0,50,4.63641
-50.0,50,4.669469
-50.0,50,4.700938
-50.0,50,4.733925
-50.0,50,4.765912
0.0,50,4.79867
-50.0,50,4.831865
-50.0,50,4.865752
-50.0,50,4.898746
-34.0,50,4.93182
-8.0,50,4.963422
-50.0,50,4.999996
-50.0,50,5.033282
-50.0,50,5.065982
-50.0,50,5.098085
-50.0,50,5.129878
-50.0,50,5.1615
-50.0,50,5.193649
-50.0,50,5.226223
-50.0,50,5.257732
-28.0,50,5.291131
-50.0,50,5.322426
-50.0,50,5.355834
-41.0,50,5.388684
-31.0,50,5.420477
-50.0,50,5.453791
-24.0,50,5.490581
-50.0,50,5.522764
-50.0,50,5.555546
-50.0,50,5.590339
-47.0,50,5.6225
-50.0,50,5.654464
-14.0,50,5.688252
-50.0,50,5.7214
-10.0,50,5.754478
-23.0,50,5.787623
-50.0,50,5.82046
-36.0,50,5.854135
-50.0,50,5.8875
-50.0,50,5.919443
-50.0,50,5.953693
-50.0,50,5.989279
-50.0,50,6.023824
-50.0,50,6.055818
-43.0,50,6.088866
-50.0,50,6.120752
-50.0,50,6.15344
-50.0,50,6.185779
-22.0,50,6.218331
-50.0,50,6.250384
-50.0,50,6.282339
-50.0,50,6.314387
-19.0,50,6.933793
-50.0,50,6.967577
-50.0,50,7.004568
-18.0,50,7.037694
-50.0,50,7.071085
-50.0,50,7.103697
-24.0,50,7.137766
-32.0,50,7.1728
-50.0,50,7.209946
-50.0,50,7.249269
-50.0,50,7.285618
-16.0,50,7.320357
-50.0,50,7.354104
-15.0,50,7.387908
-7.0,50,7.420735
-50.0,50,7.454902
-9.0,50,7.49364
-50.0,50,7.52777
-26.0,50,7.561955
-22.0,50,7.596394
-50.0,50,7.631372
-10.0,50,7.665538
-27.0,50,7.700474
-23.0,50,7.734298
-32.0,50,7.769797
-50.0,50,7.804992
-50.0,50,7.841389
-24.0,50,7.880293
-35.0,50,7.917267
-20.0,50,7.953043
-50.0,50,7.993376
-49.0,50,8.029842
-50.0,50,8.066308
-37.0,50,8.103363
-38.0,50,8.140085
-37.0,50,8.176305
-50.0,50,8.212444
-50.0,50,8.24868
-50.0,50,8.283979
-3.0,50,8.319658
-21.0,50,8.355509
-50.0,50,8.389678
0.0,50,8.422564
-14.0,50,8.454826
-22.0,50,8.492182
-50.0,50,8.526171
-30.0,50,8.561
-15.0,50,8.597155
-32.0,50,8.631165
-50.0,50,8.663869
-50.0,50,8.697004
-34.0,50,8.73021
-50.0,50,8.765576
-50.0,50,8.799072
-50.0,50,8.831768
-41.0,50,8.865039
-50.0,50,8.899046
-50.0,50,8.933342
0.0,50,8.967808
-47.0,50,9.006968
-50.0,50,9.043139
-37.0,50,9.08345
-33.0,50,9.121919
-50.0,50,9.159675
-33.0,50,9.195381
-21.0,50,9.230408
-33.0,50,9.266152
-12.0,50,9.302706
-36.0,50,9.338475
-28.0,50,9.37427
-27.0,50,9.409039
-50.0,50,9.443028
-50.0,50,9.480878
-50.0,50,9.515713
-50.0,50,9.548856
-23.0,50,9.580851
-35.0,50,9.612439
-50.0,50,9.644054
-27.0,50,9.675336
-34.0,50,9.70656
-50.0,50,9.737682
-22.0,50,9.769136
-50.0,50,9.801071
-50.0,50,9.832308
-21.0,50,9.864304
-50.0,50,9.899884
-42.0,50,9.934649
-43.0,50,9.967548
-36.0,50,10.012013
-50.0,50,10.052693
-50.0,50,10.087674
-50.0,50,10.122315
-50.0,50,10.156376
-33.0,50,10.190186
-50.0,50,10.2243
-31.0,50,10.258211
-24.0,50,10.291593
-40.0,50,10.32485
-32.0,50,10.360144
-50.0,50,10.395393
-16.0,50,10.960815
-23.0,50,10.998677
-33.0,50,11.034234
-8.0,50,11.069733
-37.0,50,11.105867
-50.0,50,11.142714
0.0,50,11.17924
-50.0,50,11.215151
-30.0,50,11.251523
-45.0,50,11.288189
-26.0,50,11.327646
-20.0,50,11.364173
0.0,50,11.400213
-20.0,50,11.436262
-23.0,50,11.472954
-50.0,50,11.513835
-40.0,50,11.549588
-3.0,50,11.585915
-3.0,50,11.622584
-50.0,50,11.661877
-23.0,50,11.700014
-15.0,50,11.736579
-36.0,50,11.772138
-29.0,50,11.813247
-17.0,50,11.855834
-21.0,50,11.901512
-30.0,50,11.945311
-16.0,50,11.982882
-29.0,50,12.028921
-25.0,50,12.06741
-38.0,50,12.105178
-50.0,50,12.142794
-24.0,50,12.179528
-50.0,50,12.216345
-50.0,50,12.260161
-20.0,50,12.299209
-8.0,50,12.342363
-20.0,50,12.386262
-15.0,50,12.427411
-21.0,50,12.468836
-21.0,50,12.516474
-17.0,50,12.564872
-12.0,50,12.635471
-21.0,50,12.711359
-21.0,50,12.788951
-31.0,50,12.865993
-50.0,50,12.950123
-26.0,50,13.025912
-14.0,50,13.109057
-41.0,50,13.201144
-9.0,50,13.289387
-31.0,50,13.365784
-23.0,50,13.444854
-9.0,50,13.52521
-50.0,50,13.592324
-17.0,50,13.647108
-31.0,50,13.694676
-16.0,50,13.742242
-21.0,50,13.787889
-18.0,50,13.832454
-50.0,50,13.875456
-40.0,50,13.918379
-42.0,50,13.96121
-50.0,50,14.004547
-16.0,50,14.044662
-48.0,50,14.086061
-13.0,50,14.131883
-50.0,50,14.169897
-50.0,50,14.204717
-50.0,50,14.238891
-5.0,50,14.272925
-18.0,50,14.306296
-13.0,50,14.339355
-35.0,50,14.372838
-41.0,50,14.405744
-45.0,50,14.438757
-24.0,50,14.472475
-24.0,50,14.509008
-26.0,50,14.543956
-17.0,50,14.577648
-28.0,50,14.611607
-39.0,50,14.645545
-19.0,50,14.67882
-14.0,50,14.712083
-50.0,50,14.745623
-17.0,50,14.779545
-26.0,50,14.814359
0.0,50,14.848969
-18.0,50,14.885987
-35.0,50,14.921139
-8.0,50,14.956448
-50.0,50,14.993332
-15.0,50,15.02822
-27.0,50,15.063485
-28.0,50,15.100124
-16.0,50,15.135595
-43.0,50,15.170863
-50.0,50,15.208446
-31.0,50,15.24348
-26.0,50,15.276729
-22.0,50,15.856995
-4.0,50,15.893955
-16.0,50,15.93157
-20.0,50,15.967923
-10.0,50,16.007972
-18.0,50,16.044481
-14.0,50,16.081766
-19.0,50,16.118605
-12.0,50,16.161967
-50.0,50,16.20159
-26.0,50,16.242765
-13.0,50,16.281082
-10.0,50,16.31877
-8.0,50,16.356384
-23.0,50,16.394473
0.0,50,16.4329
-25.0,50,16.470202
-13.0,50,16.509853
-24.0,50,16.545955
0.0,50,16.582784
-13.0,50,16.621724
-23.0,50,16.65953
-5.0,50,16.695656
-9.0,50,16.731788
-50.0,50,16.767834
-16.0,50,16.802944
-20.0,50,16.838614
-15.0,50,16.872521
-32.0,50,16.906423
-11.0,50,16.94041
-7.0,50,16.975325
-20.0,50,17.010493
-17.0,50,17.04794
-24.0,50,17.083456
-1.0,50,17.121045
-13.0,50,17.1579
-11.0,50,17.194097
-16.0,50,17.230932
-26.0,50,17.268021
-19.0,50,17.305723
-16.0,50,17.342858
-6.0,50,17.381219
-20.0,50,17.417768
-19.0,50,17.45416
-12.0,50,17.490371
-18.0,50,17.526868
-8.0,50,17.563096
-50.0,50,17.599091
-15.0,50,17.636175
-6.0,50,17.6726
-17.0,50,17.709041
-21.0,50,17.74425
-13.0,50,17.783149
-16.0,50,17.82135
-5.0,50,17.862562
-21.0,50,17.904714
-16.0,50,17.945537
0.0,50,17.985748
0.0,50,18.024709
-8.0,50,18.062926
-20.0,50,18.100481
-16.0,50,18.139463
0.0,50,18.176107
-35.0,50,18.21248
-27.0,50,18.249789
-26.0,50,18.290832
-50.0,50,18.332369
-14.0,50,18.368313
-14.0,50,18.4048
-19.0,50,18.440648
-13.0,50,18.475971
-19.0,50,18.509567
-7.0,50,18.542218
-16.0,50,18.575579
-31.0,50,18.607841
-16.0,50,18.642303
-22.0,50,18.676231
-6.0,50,18.70892
-2.0,50,18.741354
-22.0,50,18.773814
-24.0,50,18.809772
-29.0,50,18.846905
-20.0,50,18.880723
-19.0,50,18.915426
-3.0,50,18.978785
0.0,50,19.039605
-16.0,50,19.104593
-12.0,50,19.158385
-18.0,50,19.203889
-13.0,50,19.248486
-1.0,50,19.293685
-10.0,50,19.338064
-12.0,50,19.381975
-14.0,50,19.423533
-24.0,50,19.464575
-17.0,50,19.506833
-16.0,50,19.548495
-9.0,50,19.592612
-11.0,50,19.633185
-21.0,50,19.67216
-4.0,50,20.224853
-16.0,50,20.257856
-12.0,50,20.291155
-15.0,50,20.323677
-18.0,50,20.355482
-14.0,50,20.38702
-12.0,50,20.417915
0.0,50,20.451168
-10.0,50,20.481619
-13.0,50,20.516295
-17.0,50,20.548351
-15.0,50,20.580839
-7.0,50,20.626015
-19.0,50,20.657792
-13.0,50,20.692917
0.0,50,20.723727
-5.0,50,20.754376
-18.0,50,20.783699
-9.0,50,20.812972
-15.0,50,20.842651
-19.0,50,20.871875
-2.0,50,20.900951
-10.0,50,20.930067
-17.0,50,20.958454
-14.0,50,20.987491
-9.0,50,21.016744
-10.0,50,21.04578
-13.0,50,21.07392
-16.0,50,21.105886
-11.0,50,21.135042
-20.0,50,21.164053
-15.0,50,21.193415
-14.0,50,21.223071
-16.0,50,21.251758
-12.0,50,21.284821
-12.0,50,21.323599
-15.0,50,21.361517
-16.0,50,21.397071
-21.0,50,21.429525
-10.0,50,21.459984
-2.0,50,21.488034
-21.0,50,21.516702
-8.0,50,21.552004
-6.0,50,21.591824
-14.0,50,21.629512
-11.0,50,21.660713
-6.0,50,21.691253
-14.0,50,21.720316
-15.0,50,21.749119
-12.0,50,21.780659
-10.0,50,21.815863
-8.0,50,21.851396
-13.0,50,21.886632
-15.0,50,21.921044
-7.0,50,21.954096
-18.0,50,21.98537
-16.0,50,22.013766
-14.0,50,22.042905
-11.0,50,22.070101
-10.0,50,22.101031
-3.0,50,22.128727
-4.0,50,22.156135
-14.0,50,22.185009
-12.0,50,22.211642
-11.0,50,22.239224
-18.0,50,22.266228
-10.0,50,22.292892
-10.0,50,22.320935
-15.0,50,22.349082
-12.0,50,22.376886
-7.0,50,22.405837
-7.0,50,22.434214
-6.0,50,22.461663
-15.0,50,22.489172
-12.0,50,22.51743
-11.0,50,22.545204
-11.0,50,22.572511
-10.0,50,22.605153
-5.0,50,22.634394
-17.0,50,22.662504
-3.0,50,22.69072
-13.0,50,22.718389
-8.0,50,22.746055
-14.0,50,22.773572
-16.0,50,22.801019
-16.0,50,22.828574
0.0,50,22.857038
-13.0,50,22.885064
-8.0,50,22.912294
-6.0,50,22.940241
-12.0,50,22.967408
-11.0,50,22.995444
-4.0,50,23.024079
-5.0,50,23.05258
-9.0,50,23.081291
-8.0,50,23.113653
-18.0,50,23.14219
-19.0,50,23.170386
-1.0,50,23.198918
-15.0,50,23.227488
-7.0,50,23.685309
-9.0,50,23.714926
-15.0,50,23.743943
-9.0,50,23.772299
-14.0,50,23.800839
-12.0,50,23.829323
-7.0,50,23.857818
-4.0,50,23.886766
-12.0,50,23.915548
-7.0,50,23.944152
-12.0,50,23.972678
-6.0,50,24.000778
-7.0,50,24.028673
-8.0,50,24.057521
-7.0,50,24.085946
-10.0,50,24.118223
-13.0,50,24.146348
-8.0,50,24.17446
-12.0,50,24.203462
-7.0,50,24.231009
-11.0,50,24.258767
-13.0,50,24.286361
-5.0,50,24.31365
-12.0,50,24.341895
-9.0,50,24.369704
-6.0,50,24.398279
-12.0,50,24.427057
-11.0,50,24.455608
-7.0,50,24.483395
-14.0,50,24.511835
-11.0,50,24.539642
-5.0,50,24.567089
-8.0,50,24.598224
-8.0,50,24.626354
-9.0,50,24.654217
-13.0,50,24.681717
-8.0,50,24.709653
-5.0,50,24.738199
-3.0,50,24.765533
-13.0,50,24.793816
-10.0,50,24.82185
-15.0,50,24.850914
-15.0,50,24.880011
-8.0,50,24.908572
-16.0,50,24.937348
-9.0,50,24.966147
-7.0,50,24.994818
-5.0,50,25.022889
-5.0,50,25.050334
-14.0,50,25.077811
-7.0,50,25.111127
-11.0,50,25.139438
-6.0,50,25.166741
-6.0,50,25.194887
-10.0,50,25.222994
-4.0,50,25.2519
-5.0,50,25.28044
-14.0,50,25.308907
-4.0,50,25.338063
-8.0,50,25.365864
-8.0,50,25.393669
-6.0,50,25.421188
-8.0,50,25.449412
-3.0,50,25.476928
-9.0,50,25.504738
-20.0,50,25.532856
-2.0,50,25.560644
-9.0,50,25.590192
-7.0,50,25.62073
-10.0,50,25.649564
-6.0,50,25.677992
-12.0,50,25.706712
-9.0,50,25.735206
-12.0,50,25.763996
-10.0,50,25.792126
-12.0,50,25.819877
-15.0,50,25.847689
-11.0,50,25.875538
-11.0,50,25.90299
-1.0,50,25.930148
-9.0,50,25.958009
-6.0,50,25.984972
-18.0,50,26.01224
-3.0,50,26.040191
-6.0,50,26.068535
-11.0,50,26.101101
-9.0,50,26.130661
-12.0,50,26.160294
-5.0,50,26.189762
-15.0,50,26.219149
-12.0,50,26.248286
-7.0,50,26.276601
-4.0,50,26.304673
-10.0,50,26.3335
-11.0,50,26.36165
-10.0,50,26.390195
0.0,50,26.418823
-8.0,50,26.448113
-2.0,50,26.478033
-7.0,50,26.508211
-7.0,50,27.004945
-1.0,50,27.037587
-7.0,50,27.065987
-5.0,50,27.098599
-4.0,50,27.127537
-8.0,50,27.156322
-2.0,50,27.184949
-5.0,50,27.212607
-7.0,50,27.241422
-9.0,50,27.270006
-4.0,50,27.309106
-13.0,50,27.349623
-10.0,50,27.38301
-13.0,50,27.41168
-13.0,50,27.440332
-5.0,50,27.469177
-12.0,50,27.49797
-11.0,50,27.527068
-1.0,50,27.555388
-10.0,50,27.585376
-7.0,50,27.616782
-12.0,50,27.645934
-38.0,50,27.686001
-9.0,50,27.72577
-8.0,50,27.760462
-10.0,50,27.79369
-3.0,50,27.82533
-10.0,50,27.856827
-7.0,50,27.888658
-2.0,50,27.920784
-44.0,50,27.953301
-5.0,50,27.98744
-5.0,50,28.018014
-15.0,50,28.047711
-2.0,50,28.076815
-4.0,50,28.108986
-9.0,50,28.137632
-9.0,50,28.165086
0.0,50,28.193228
0.0,50,28.224398
-5.0,50,28.256849
-11.0,50,28.285733
-5.0,50,28.327628
-11.0,50,28.368118
-7.0,50,28.406883
-10.0,50,28.437844
-5.0,50,28.469746
-10.0,50,28.502182
-7.0,50,28.535577
-11.0,50,28.56903
-14.0,50,28.604456
0.0,50,28.647259
-2.0,50,28.683721
-16.0,50,28.718243
-9.0,50,28.752172
-12.0,50,28.786213
-8.0,50,28.818088
-10.0,50,28.850212
-8.0,50,28.882109
-11.0,50,28.91619
-6.0,50,28.952006
-5.0,50,28.986235
-4.0,50,29.020292
-13.0,50,29.051393
-12.0,50,29.082503
-10.0,50,29.116675
-3.0,50,29.14712
-6.0,50,29.176565
-7.0,50,29.205953
0.0,50,29.236333
-9.0,50,29.265984
-10.0,50,29.295694
-14.0,50,29.325507
-9.0,50,29.355017
-12.0,50,29.384639
-5.0,50,29.415593
-11.0,50,29.444516
-4.0,50,29.474171
0.0,50,29.505415
-4.0,50,29.535865
-11.0,50,29.56898
-8.0,50,29.609959
-9.0,50,29.65459
-47.0,50,29.68464
-9.0,50,29.714069
-8.0,50,29.743941
-7.0,50,29.773574
-3.0,50,29.804678
-11.0,50,29.835577
-3.0,50,29.864096
-5.0,50,29.893111
-35.0,50,29.924054
-10.0,50,29.954722
-10.0,50,30.000972
-4.0,50,30.037939
-10.0,50,30.073886
-7.0,50,30.113218
-8.0,50,30.15367
-13.0,50,30.191794
-7.0,50,30.222939
-14.0,50,30.723591
0.0,50,30.75472
-9.0,50,30.784396
-7.0,50,30.814769
-7.0,50,30.845086
-9.0,50,30.875919
-13.0,50,30.90575
-13.0,50,30.935248
-1.0,50,30.965254
-5.0,50,30.995509
-8.0,50,31.027993
0.0,50,31.060344
-8.0,50,31.09771
-11.0,50,31.134627
-5.0,50,31.170285
-7.0,50,31.202336
-4.0,50,31.235903
-7.0,50,31.26771
-2.0,50,31.300341
-7.0,50,31.333012
-8.0,50,31.365797
-8.0,50,31.397938
-7.0,50,31.43211
0.0,50,31.46723
-3.0,50,31.501418
-10.0,50,31.536576
0.0,50,31.571008
-11.0,50,31.609111
-1.0,50,31.643058
-12.0,50,31.676317
-9.0,50,31.713315
-5.0,50,31.750509
-9.0,50,31.784823
-15.0,50,31.817844
0.0,50,31.852159
-7.0,50,31.886647
0.0,50,31.919986
0.0,50,31.952823
-4.0,50,31.98469
-11.0,50,32.017066
-11.0,50,32.048877
-5.0,50,32.082143
-8.0,50,32.119962
-12.0,50,32.15076
-4.0,50,32.181877
-6.0,50,32.215161
-4.0,50,32.246702
-11.0,50,32.277029
-13.0,50,32.306445
-4.0,50,32.338112
-8.0,50,32.370949
-10.0,50,32.405916
-14.0,50,32.434726
-4.0,50,32.463781
-12.0,50,32.492636
-6.0,50,32.521232
-10.0,50,32.551664
-8.0,50,32.580409
-3.0,50,32.613394
-4.0,50,32.641973
-5.0,50,32.669879
-2.0,50,32.698139
-4.0,50,32.726066
-12.0,50,32.75561
-8.0,50,32.783354
-7.0,50,32.812358
-12.0,50,32.841464
-2.0,50,32.870777
