o,u,g,ag,r
"[[ 9.9736303e-01  9.9721527e-01 -7.2574154e-02  7.4576899e-02
  -1.9241226e-01  5.4391031e-03  6.6400180e-04  1.9293646e-03
   2.0973608e-01 -7.0365155e-03  0.0000000e+00]]",[[0.06209416 0.08383195]],[[-0.19241226  0.0054391 ]],[[ 0.20973608 -0.00703652]],[-1.]
"[[ 0.9975397   0.99695843 -0.07010406  0.0779348  -0.19241226  0.0054391
   0.24615978  0.33373603  0.20975058 -0.00614703  0.        ]]",[[0.0686281  0.07849143]],[[-0.19241226  0.0054391 ]],[[ 0.20975058 -0.00614703]],[-1.]
"[[ 0.9980435   0.99615335 -0.06252375  0.08762706 -0.19241226  0.0054391
   0.5126583   0.6378192   0.20976949 -0.00348379  0.        ]]",[[0.07891972 0.07358701]],[[-0.19241226  0.0054391 ]],[[ 0.20976949 -0.00348379]],[-1.]
"[[ 0.9987859   0.99467015 -0.0492619   0.10310798 -0.19241226  0.0054391
   0.8146086   0.9164489   0.2097182   0.0010116   0.        ]]",[[0.09459993 0.0694667 ]],[[-0.19241226  0.0054391 ]],[[0.2097182 0.0010116]],[-1.]
"[[ 0.9995679   0.9922975  -0.02939335  0.12387782 -0.19241226  0.0054391
   1.1726253   1.1732256   0.20946291  0.00747254  0.        ]]",[[0.11307842 0.06722943]],[[-0.19241226  0.0054391 ]],[[0.20946291 0.00747254]],[-1.]
"[[ 0.99999857  0.9887565  -0.00169055  0.14953458 -0.19241226  0.0054391
   1.5966673   1.4160342   0.20879076  0.01609537  0.        ]]",[[0.13564382 0.06676778]],[[-0.19241226  0.0054391 ]],[[0.20879076 0.01609537]],[-1.]
"[[ 0.9993767   0.9837024   0.03530153  0.1798043  -0.19241226  0.0054391
   2.1015944   1.6521758   0.20737936  0.02711564  0.        ]]",[[0.16358517 0.06878722]],[[-0.19241226  0.0054391 ]],[[0.20737936 0.02711564]],[-1.]
"[[ 0.9965229   0.9767125   0.08331898  0.21455209 -0.19241226  0.0054391
   2.7070725   1.8915979   0.20475085  0.0408016   0.        ]]",[[0.18895434 0.07226522]],[[-0.19241226  0.0054391 ]],[[0.20475085 0.0408016 ]],[-1.]
"[[ 0.9895753   0.96726924  0.14401634  0.25375235 -0.19241226  0.0054391
   3.400939    2.1400142   0.20022827  0.05734601  0.        ]]",[[0.2044561  0.07767466]],[[-0.19241226  0.0054391 ]],[[0.20022827 0.05734601]],[-1.]
"[[ 0.97590244  0.95473886  0.21820723  0.29744524 -0.19241226  0.0054391
   4.1424127   2.4049072   0.19294155  0.07666695  0.        ]]",[[0.2137095 0.0878858]],[[-0.19241226  0.0054391 ]],[[0.19294155 0.07666695]],[-1.]
"[[ 0.9521855   0.93829674  0.30552036  0.34583116 -0.19241226  0.0054391
   4.9058332   2.7049706   0.18187411  0.09830741  0.        ]]",[[0.21089053 0.08968873]],[[-0.19241226  0.0054391 ]],[[0.18187411 0.09830741]],[-1.]
"[[ 9.14713502e-01  9.17022526e-01  4.04103011e-01  3.98835391e-01
  -1.92412257e-01  5.43910312e-03  5.64302874e+00  3.00622869e+00
   1.66012481e-01  1.21302776e-01  0.00000000e+00]]",[[0.20019756 0.08526284]],[[-0.19241226  0.0054391 ]],[[0.16601248 0.12130278]],[-1.]
"[[ 8.5991931e-01  8.9013362e-01  5.1042998e-01  4.5569965e-01
  -1.9241226e-01  5.4391031e-03  6.3233848e+00  3.2840009e+00
   1.4460489e-01  1.4412625e-01  0.0000000e+00]]",[[0.18498726 0.07715948]],[[-0.19241226  0.0054391 ]],[[0.14460489 0.14412625]],[-1.]
"[[ 7.8491318e-01  8.5706633e-01  6.1960578e-01  5.1520604e-01
  -1.9241226e-01  5.4391031e-03  6.9301653e+00  3.5241926e+00
   1.1737662e-01  1.6485812e-01  0.0000000e+00]]",[[0.15440702 0.06157954]],[[-0.19241226  0.0054391 ]],[[0.11737662 0.16485812]],[-1.]
"[[ 6.8834013e-01  8.1765211e-01  7.2538805e-01  5.7571262e-01
  -1.9241226e-01  5.4391031e-03  7.4040313e+00  3.6979616e+00
   8.4807299e-02  1.8137276e-01  0.0000000e+00]]",[[0.12559858 0.06217491]],[[-0.19241226  0.0054391 ]],[[0.0848073  0.18137276]],[-1.]
"[[ 5.7089901e-01  7.7177566e-01  8.2102031e-01  6.3589489e-01
  -1.9241226e-01  5.4391031e-03  7.7545967e+00  3.8706651e+00
   4.8127830e-02  1.9173624e-01  0.0000000e+00]]",[[0.10103663 0.05877218]],[[-0.19241226  0.0054391 ]],[[0.04812783 0.19173624]],[-1.]
