o,u,g,ag,r
[[-2.8533516  0.9532981]],[[ 0.66632324 -0.3539828 ]],[[ 2.4696155 -2.4697762]],[[-2.8533516  0.9532981]],[-1.]
[[-2.1870282  0.5993153]],[[ 0.630213   -0.35333046]],[[ 2.4696155 -2.4697762]],[[-2.1870282  0.5993153]],[-1.]
[[-1.5568153   0.24598484]],[[ 0.5911817  -0.35740182]],[[ 2.4696155 -2.4697762]],[[-1.5568153   0.24598484]],[-1.]
[[-0.9656336  -0.11141699]],[[ 0.5676078 -0.3698626]],[[ 2.4696155 -2.4697762]],[[-0.9656336  -0.11141699]],[-1.]
[[-0.39802572 -0.48127958]],[[ 0.54487693 -0.3851502 ]],[[ 2.4696155 -2.4697762]],[[-0.39802572 -0.48127958]],[-1.]
[[ 0.1468512  -0.86642975]],[[ 0.52210844 -0.39645678]],[[ 2.4696155 -2.4697762]],[[ 0.1468512  -0.86642975]],[-1.]
[[ 0.6689596 -1.2628865]],[[ 0.50155824 -0.39807972]],[[ 2.4696155 -2.4697762]],[[ 0.6689596 -1.2628865]],[-1.]
[[ 1.1705179 -1.6609663]],[[ 0.46751136 -0.3749956 ]],[[ 2.4696155 -2.4697762]],[[ 1.1705179 -1.6609663]],[-0.]
[[ 1.6380292 -2.0359619]],[[ 0.41170394 -0.32109746]],[[ 2.4696155 -2.4697762]],[[ 1.6380292 -2.0359619]],[-0.]
[[ 2.0497332 -2.3570592]],[[ 0.3300188  -0.24599394]],[[ 2.4696155 -2.4697762]],[[ 2.0497332 -2.3570592]],[-0.]
[[ 2.379752  -2.6030533]],[[ 0.22666748 -0.1268913 ]],[[ 2.4696155 -2.4697762]],[[ 2.379752  -2.6030533]],[-0.]
[[ 2.6064196 -2.7299445]],[[ 0.1561504  -0.06489819]],[[ 2.4696155 -2.4697762]],[[ 2.6064196 -2.7299445]],[-0.]
[[ 2.76257   -2.7948427]],[[ 0.11509573 -0.04416343]],[[ 2.4696155 -2.4697762]],[[ 2.76257   -2.7948427]],[-0.]
[[ 2.8776655 -2.8390062]],[[ 0.0869073  -0.03345953]],[[ 2.4696155 -2.4697762]],[[ 2.8776655 -2.8390062]],[-0.]
[[ 2.964573  -2.8724656]],[[ 0.06581812 -0.02550006]],[[ 2.4696155 -2.4697762]],[[ 2.964573  -2.8724656]],[-0.]
[[ 3.030391  -2.8979657]],[[ 0.05020155 -0.01948634]],[[ 2.4696155 -2.4697762]],[[ 3.030391  -2.8979657]],[-0.]
[[ 3.0805926 -2.917452 ]],[[ 0.03846376 -0.01475124]],[[ 2.4696155 -2.4697762]],[[ 3.0805926 -2.917452 ]],[-0.]
[[ 3.1190562 -2.9322033]],[[ 0.03025514 -0.01082074]],[[ 2.4696155 -2.4697762]],[[ 3.1190562 -2.9322033]],[-0.]
[[ 3.1493115 -2.9430242]],[[ 0.02412355 -0.00846655]],[[ 2.4696155 -2.4697762]],[[ 3.1493115 -2.9430242]],[-0.]
[[ 3.173435  -2.9514906]],[[ 0.01930668 -0.00678358]],[[ 2.4696155 -2.4697762]],[[ 3.173435  -2.9514906]],[-0.]
[[ 3.1927416 -2.9582741]],[[ 0.01545162 -0.005433  ]],[[ 2.4696155 -2.4697762]],[[ 3.1927416 -2.9582741]],[-0.]
[[ 3.2081933 -2.9637072]],[[ 0.01236633 -0.00435023]],[[ 2.4696155 -2.4697762]],[[ 3.2081933 -2.9637072]],[-0.]
[[ 3.2205596 -2.9680574]],[[ 0.00989707 -0.0034827 ]],[[ 2.4696155 -2.4697762]],[[ 3.2205596 -2.9680574]],[-0.]
[[ 3.2304566 -2.9715402]],[[ 0.00792095 -0.00278777]],[[ 2.4696155 -2.4697762]],[[ 3.2304566 -2.9715402]],[-0.]
[[ 3.2383776 -2.974328 ]],[[ 0.00633934 -0.00223143]],[[ 2.4696155 -2.4697762]],[[ 3.2383776 -2.974328 ]],[-0.]
[[ 3.244717  -2.9765594]],[[ 0.00507353 -0.00178595]],[[ 2.4696155 -2.4697762]],[[ 3.244717  -2.9765594]],[-0.]
[[ 3.2497904 -2.9783454]],[[ 0.00406046 -0.00142952]],[[ 2.4696155 -2.4697762]],[[ 3.2497904 -2.9783454]],[-0.]
[[ 3.253851 -2.979775]],[[ 0.00324973 -0.00114406]],[[ 2.4696155 -2.4697762]],[[ 3.253851 -2.979775]],[-0.]
[[ 3.2571008 -2.980919 ]],[[ 0.00262467 -0.00090814]],[[ 2.4696155 -2.4697762]],[[ 3.2571008 -2.980919 ]],[-0.]
[[ 3.2597253 -2.981827 ]],[[ 0.00212065 -0.00072431]],[[ 2.4696155 -2.4697762]],[[ 3.2597253 -2.981827 ]],[-0.]
[[ 3.261846  -2.9825513]],[[ 0.00171265 -0.00058021]],[[ 2.4696155 -2.4697762]],[[ 3.261846  -2.9825513]],[-0.]
[[ 3.2635586 -2.9831316]],[[ 0.00138276 -0.00046607]],[[ 2.4696155 -2.4697762]],[[ 3.2635586 -2.9831316]],[-0.]
[[ 3.2649415 -2.9835975]],[[ 0.00111581 -0.00037516]],[[ 2.4696155 -2.4697762]],[[ 3.2649415 -2.9835975]],[-0.]
[[ 3.2660573 -2.9839728]],[[ 0.00089664 -0.00030139]],[[ 2.4696155 -2.4697762]],[[ 3.2660573 -2.9839728]],[-0.]
[[ 3.266954  -2.9842741]],[[ 0.00072047 -0.00024234]],[[ 2.4696155 -2.4697762]],[[ 3.266954  -2.9842741]],[-0.]
[[ 3.2676744 -2.9845166]],[[ 0.00057901 -0.00019464]],[[ 2.4696155 -2.4697762]],[[ 3.2676744 -2.9845166]],[-0.]
[[ 3.2682533 -2.9847112]],[[ 0.00046532 -0.00015642]],[[ 2.4696155 -2.4697762]],[[ 3.2682533 -2.9847112]],[-0.]
[[ 3.2687187 -2.9848676]],[[ 0.00037385 -0.00012573]],[[ 2.4696155 -2.4697762]],[[ 3.2687187 -2.9848676]],[-0.]
[[ 3.2690926 -2.9849932]],[[ 0.00030045 -0.00010115]],[[ 2.4696155 -2.4697762]],[[ 3.2690926 -2.9849932]],[-0.]
