o2,u
"[ 0.9994676   0.9978575  -0.03262598 -0.06542476 -0.13631503 -0.09487378
 -3.9504077  -2.2705977   0.20941819 -0.01403215  0.        ]",[-1.         -0.57476413]
"[ 0.9895168   0.99099565 -0.14441788 -0.1338939  -0.13631503 -0.09487378
 -7.2678475  -4.604197    0.20469232 -0.04475477  0.        ]",[-0.85858256 -0.6010349 ]
"[ 0.9676988   0.9771835  -0.25210914 -0.21239676 -0.13631503 -0.09487378
 -3.7373512  -3.372883    0.19489646 -0.07492252  0.        ]",[0.8562539  0.28828636]
"[ 0.9494495   0.96695936 -0.31391984 -0.25493047 -0.13631503 -0.09487378
 -2.712013   -1.0098687   0.18712962 -0.09140874  0.        ]",[0.24073632 0.5800147 ]
"[ 0.9164715   0.9570103  -0.40009996 -0.29005376 -0.13631503 -0.09487378
 -6.506083   -2.6354313   0.17536184 -0.11136649  0.        ]",[-0.9727909  -0.41595843]
"[ 0.87482554  0.94518775 -0.48443815 -0.3265274  -0.13631503 -0.09487378
 -2.9153483  -1.2037649   0.16103624 -0.13023601  0.        ]",[0.8752901 0.3487267]
"[ 0.84581935  0.9486637  -0.53346944 -0.31628656 -0.13631503 -0.09487378
 -2.78272     2.2736447   0.1542842  -0.13844453  0.        ]",[0.0192789 0.8722161]
"[ 0.7973669   0.9541677  -0.6034948  -0.29927248 -0.13631503 -0.09487378
 -5.725452   -0.47623104  0.14356293 -0.14993815  0.        ]",[-0.75805074 -0.6834041 ]
"[ 0.7483902   0.960066   -0.66325873 -0.27977347 -0.13631503 -0.09487378
 -2.015688    2.5034919   0.13345899 -0.15940538  0.        ]",[0.9094233  0.75050175]
"[ 0.7013841   0.96351755 -0.7127835  -0.26764524 -0.13631503 -0.09487378
 -4.8044424  -1.2300634   0.12349438 -0.16747124  0.        ]",[-0.7153906 -0.930669 ]
"[ 0.6217638   0.94707024 -0.7832048  -0.32102636 -0.13631503 -0.09487378
 -5.826651   -4.3460217   0.09929521 -0.18186836  0.        ]",[-0.28270516 -0.7931972 ]
"[ 0.51022923  0.9062516  -0.86003846 -0.42273876 -0.13631503 -0.09487378
 -7.7212253  -6.61165     0.06189619 -0.19546479  0.        ]",[-0.5082146  -0.59411526]
"[ 0.37477002  0.84292233 -0.9271178  -0.53803533 -0.13631503 -0.09487378
 -7.4100795  -6.552471    0.0173555  -0.20085585  0.        ]",[ 0.04012428 -0.01811424]
"[ 0.24453016  0.7591865  -0.9696417  -0.6508731  -0.13631503 -0.09487378
 -6.3049736  -7.507283   -0.02454917 -0.19544692  0.        ]",[ 0.2422954 -0.2738358]
"[ 0.11912892  0.65000325 -0.9928788  -0.75993145 -0.13631503 -0.09487378
 -6.456804   -7.938646   -0.06256627 -0.18023752  0.        ]",[-0.06981367 -0.14652158]
"[ 0.0059305   0.5420438  -0.9999824  -0.8403502  -0.13631503 -0.09487378
 -4.8965254  -5.541482   -0.09149188 -0.1601687   0.        ]",[0.3623558  0.56580406]
"[-0.12293118  0.42421347 -0.9924152  -0.9055622  -0.13631503 -0.09487378
 -8.010563   -7.9279695  -0.11688376 -0.13330822  0.        ]",[-0.8115383 -0.6306772]
"[-0.26314852  0.29584727 -0.96475536 -0.95523524 -0.13631503 -0.09487378
 -6.2991953  -5.854025   -0.13625179 -0.10021928  0.        ]",[0.39272037 0.48419324]
"[-0.3450603   0.20089166 -0.9385805  -0.9796135  -0.13631503 -0.09487378
 -2.3158596  -3.9597278  -0.14327143 -0.07741282  0.        ]",[0.97529507 0.4493425 ]
"[-0.35728374  0.13227037 -0.9339959  -0.9912137  -0.13631503 -0.09487378
  0.99935627 -3.0043411  -0.14276445 -0.06803069  0.        ]",[0.82623434 0.2216576 ]
"[-0.31336877  0.09386197 -0.9496315  -0.9955852  -0.13631503 -0.09487378
  3.6537833  -0.8686414  -0.13857122 -0.07044704  0.        ]",[0.6758473 0.5244767]
"[-0.25930366  0.07974742 -0.9657958  -0.9968151  -0.13631503 -0.09487378
  1.9954647  -0.5492458  -0.13410367 -0.07661998  0.        ]",[-0.40075752  0.07623222]
"[-0.22023837  0.07764565 -0.9754461  -0.996981   -0.13631503 -0.09487378
  2.0286524   0.33546588 -0.13087998 -0.08172241  0.        ]",[0.01840506 0.22068624]
"[-0.17982392  0.07648557 -0.9836988  -0.99707067 -0.13631503 -0.09487378
  2.096263   -0.44920462 -0.12738529 -0.08692378  0.        ]",[ 0.02719006 -0.19649386]
"[-0.14955412  0.09113544 -0.98875356 -0.9958385  -0.13631503 -0.09487378
  0.9764777   1.9115072  -0.12476445 -0.09240451  0.        ]",[-0.27235913  0.5938995 ]
"[-0.14735092  0.12914248 -0.9890843  -0.991626   -0.13631503 -0.09487378
 -0.74793625  1.9126991  -0.1247158  -0.09688707  0.        ]",[-0.43085703  0.00977329]
"[-0.17575318  0.19976471 -0.98443425 -0.9798439  -0.13631503 -0.09487378
 -2.1256158   5.2375875  -0.1275419  -0.10113153  0.        ]",[-0.35169873  0.84919536]
"[-0.21807837  0.2918866  -0.9759313  -0.9564529  -0.13631503 -0.09487378
 -2.1915793   4.273721   -0.13148728 -0.10598436  0.        ]",[-0.02734987 -0.2172467 ]
"[-0.28486145  0.33526766 -0.9585687  -0.94212294 -0.13631503 -0.09487378
 -4.701734    0.30856365 -0.13833036 -0.10169043  0.        ]",[-0.6455577  -0.98020357]
"[-0.35142314  0.34204543 -0.9362167  -0.93968344 -0.13631503 -0.09487378
 -2.3290586   0.41142672 -0.14513773 -0.09252042  0.        ]",[0.5761082  0.02765443]
"[-0.38230318  0.34008202 -0.9240369  -0.9403958  -0.13631503 -0.09487378
 -0.9950638  -0.6168651  -0.14811806 -0.08742387  0.        ]",[ 0.32541367 -0.25755987]
"[-0.36774626  0.33287302 -0.92992616 -0.94297165 -0.13631503 -0.09487378
  2.553574   -0.15022333 -0.14669968 -0.08889526  0.        ]",[0.89184976 0.11498368]
"[-0.29835135  0.31654954 -0.9544561  -0.948576   -0.13631503 -0.09487378
  4.8008914  -1.5709213  -0.13981593 -0.09754857  0.        ]",[ 0.580605   -0.35942772]
"[-0.23572662  0.2923874  -0.9718194  -0.95629996 -0.13631503 -0.09487378
  1.709261   -0.96784693 -0.13338152 -0.10364284  0.        ]",[-0.75725925  0.14425595]
"[-0.22082683  0.26167274 -0.975313   -0.9651567  -0.13631503 -0.09487378
 -0.17260039 -2.2247143  -0.13198443 -0.10216176  0.        ]",[-0.46709076 -0.32237408]
"[-0.23311038  0.22160871 -0.97245026 -0.9751357  -0.13631503 -0.09487378
 -1.0856436  -1.9054538  -0.133303   -0.0959462   0.        ]",[-0.23156865  0.06945413]
"[-0.2236809   0.21913339 -0.9746624  -0.9756949  -0.13631503 -0.09487378
  2.0437758   1.639872   -0.13236816 -0.09694992  0.        ]",[0.78558165 0.88602126]
"[-0.20204498  0.23747143 -0.97937626 -0.97139454 -0.13631503 -0.09487378
  0.17684267  0.24834183 -0.13013114 -0.10193322  0.        ]",[-0.4616369  -0.34333965]
"[-0.21809967  0.2545711  -0.9759265  -0.96705407 -0.13631503 -0.09487378
 -1.8123434   1.5116686  -0.13173166 -0.1017213   0.        ]",[-0.5017239   0.32018322]
"[-0.28483087  0.2686023  -0.9585778  -0.9632512  -0.13631503 -0.09487378
 -5.0731125  -0.05268284 -0.13846613 -0.09400277  0.        ]",[-0.8331775  -0.38772267]
"[-0.4111149   0.23941447 -0.91158354 -0.97091746 -0.13631503 -0.09487378
 -8.400535   -2.955518   -0.14929566 -0.07126138  0.        ]",[-0.86636937 -0.7336191 ]
"[-0.5279302   0.19282365 -0.84928775 -0.9812334  -0.13631503 -0.09487378
 -4.8597026  -1.8206631  -0.15565968 -0.04595739  0.        ]",[0.85287696 0.27197853]
"[-0.5752029   0.1737091  -0.81801075 -0.984797   -0.13631503 -0.09487378
 -0.82277685 -0.12940417 -0.15712473 -0.03511788  0.        ]",[0.99592566 0.41823113]
"[-0.5558964   0.1773826  -0.83125156 -0.98414195 -0.13631503 -0.09487378
  3.1506596   0.5004594  -0.15642452 -0.03916284  0.        ]",[1.         0.15863283]
